Url translation;fra;bbj
https://www.camerounweb.com/CameroonHomePage/features/Epervier-cibl-par-Paul-Biya-Ngoh-Ngoh-d-cide-d-en-finir-avec-Ibrahim-Talba-MALLA-618781.;Mais Paul Biya va plutôt nommer Ibrahim Talba MALLA au ministère des marchés publics;Da'gaə́ Paul Biya yáp é mnə̂ tsʉ' Ŋwâlǎ' msim lâ'lǎ'.
https://www.camerounweb.com/CameroonHomePage/features/Epervier-cibl-par-Paul-Biya-Ngoh-Ngoh-d-cide-d-en-finir-avec-Ibrahim-Talba-MALLA-618781.;Mais l’homme à la punk n’a pas renoncé à son projet d’envoyer Talba MALLA en prison;Da'gaə́ tâmbɛ̌ gɛ cwɔ' lə́ tʉɔnyə nə́ cya Talba Malla cɛ́.
https://www.camerounweb.com/CameroonHomePage/features/Epervier-cibl-par-Paul-Biya-Ngoh-Ngoh-d-cide-d-en-finir-avec-Ibrahim-Talba-MALLA-618781.;Claude Simo Njonou qui ne peut rien refuser à l’homme à la punk s’exécute;Claude Simo Njonou yə pə́ e lə kə́ŋnyə́ ywə́ bí tâmbɛ̌ gɛ cwɔ' á ghə̂ ywə́ yə e hə́ŋtə́ lə.
https://www.camerounweb.com/CameroonHomePage/features/Epervier-cibl-par-Paul-Biya-Ngoh-Ngoh-d-cide-d-en-finir-avec-Ibrahim-Talba-MALLA-618781.;Un rapport contre la gestion de Talba MALLA à la SONARA sera adressé à l’attention de Paul Biya;Pú və̂ bî Paul Biya ta' wa'nyə nə́ nté msim nə́ nə wim sonara Talba Malla.
https://www.camerounweb.com/CameroonHomePage/features/Epervier-cibl-par-Paul-Biya-Ngoh-Ngoh-d-cide-d-en-finir-avec-Ibrahim-Talba-MALLA-618781.;C’est ce rapport qu’a sorti opportunément du tiroir le SGPR pour la haute information du chef de l’Etat avec en arrière -pensée des auditions de TALBA MALLA au TCS;SGPR pyáp tə tâm kû' e nə̂ pə̌ sítə á pú cyá talba MALLA TCS tê wa'nyə bɔ́ɔ cyá bí Dôguŋ.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Opinions of Wednesday 22 September 2021;Nə́yɔ̂dzʉ̌ Dzə̂dzə 22 nə́ ŋkə̂mbiyɛ́ 2021.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Dans une tribune publiée il y a quelques heures Sob Amyn Fouejeu remonte aux origines de la crise anglophone;Sob Amyn Fouejeu cyanyə ntʉ́m mú' cyə́ cî pá' páknyə̂ tsʉ gəlísì lə tǒ' lə.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Selon M Fouejeu cette crise aux conséquences désastreuses trouve sa source ou mieux est née un 1er octobre 1961;Tá Fouejeu gə́ páknyə̂ tsʉ' yə̌ŋ lə́ fə́ tə́ nə́ 01 Fə̂nàm 1961.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;1er octobre célébration de la République Fédérale du Cameroun;01 Fə̂nàm 1961 tyə́' sɛ́nyə Tamtə Kaməlûm.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;La partie du Cameroun placée sous la tutelle de la France devient la République du Cameroun et l'indépendance est proclamée le 1er janvier 1960;Yə ghə̌ŋ Kaməlûm yə a lə̂ bə́ nə̂ bǔ flaŋsí á zhî Guŋ ləpʉə Kaməlûm kwî lə̀pʉɔ̀ tyə̂' 01 ŋkə̂mmghě 1960
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Une première Constitution est promulguée le 4 mars 1960;Ta' dəŋdzə mcò' tə́m tyə̂ 4 nə́Dzə̂tsə́ 1960
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;En février 1961 les populations de la partie du Cameroun sous tutelle britannique sont appelées à se prononcer;A pə́ nə́ Sɔ̂gwǐŋ 1961 pú ŋkê yə ghə̌ŋ kaməlûm nə́ mbǔ gəlísì nə́ cí.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Lors de ce plébiscite la partie septentrionale du Cameroun britannique décide par 233 571 voix contre 97 741 de s'intégrer au Nigéria indépendant depuis 1er octobre 1960;A pə́ cwə nə cí bɔ́ɔ yə́ ghə̌ŋ Kaməlûm ŋka' yə a lə̂ bə́ gəlísi á lə̂ púa mgi 233 571 nə̂ mgi 97 741 nə́ là nə̂ Nigeria bə ǎ ghə ləpʉɔ tə́ fə nə́ tyə̂' 01 nə́ Fə̂nàm 1960.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;La partie méridionale opte en faveur de l'union avec la République du Cameroun déjà indépendante depuis le 1er janvier 1960 par 146 296 voix contre 97 659;Yə ghə̌ŋ sîsǐ lə̂ nə́ la nə̂ kaməlûm bə ě ghə ləpʉə tə fə́ dəŋdzə tyə̌' nə ŋkə̂mmghě 1960 púa 146 296 nə́ 97 659.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;L'Assemblée générale de l'ONU le 21 avril suivant entérine ces choix;Cú'tə gʉə́ ONU pə́ tyə̂' 21 nə́ Dzə̂biyɛ́ bíŋ yə wáp cí lə.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Une Constitution fédérale est adoptée par l'Assemblée nationale de la République du Cameroun le 14 août 1961 par 88 voix et 6 abstentions; Asamblə guŋ Kaməlûm cwɔ́' mcò' ntàmtə̀ nə tyə̂' 14 nə́ Shwâgə̀fə̀ 1961 púa mgi 88 gə́ mgi 6 tə cwɔ̂'
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Elle est promulguée par la loi du 1er septembre 1961 publiée au Journal officiel du Cameroun le 30 septembre 1961 et entre en vigueur le 1er octobre 1961;Pú tí nə gə mco' tyə̂ deŋdzə nə́ ŋkə̂mbiyɛ́ 1961 pú cyánə ntʉ́m cyə́ mcuŋ gɔ̌pna' tyə̂' 30 nə́ ŋkə̂mbiyɛ́ 1961 nə́ŋ ntó' nə́ ghyəŋ nə̂ dəŋdzə tyə̌' nə́ dzʉ̂'mkǒ 1961.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Les matières autres que celles énumérées ci -dessus comme relevant de la compétence des autorités fédérale relevaient exclusivement de la compétence des États fédérés;Guŋ ywə́ yə pú sɛ́ thə́ pó'o a pə́ wə́ dé pə sâ' mtàmtə̀ guŋ á lə̀ bə́ dé pə́ da' wáp.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Ceux -ci peuvent se donner dans les mêmes limites les institutions de leur choix;Wáp lə fîŋ nə́ tʉ̂ dzə nə̂ tsʉ' fa' myə wáp kuŋ lə.
https://www.camerounweb.com/CameroonHomePage/features/Cameroun-le-malaise-que-cache-la-date-du-1er-octobre-1961-origine-du-chaos-au-Noso-619558.;Il pouvait dans les mêmes conditions mettre fin à leurs fonctions;A lə fîŋ nə́ tê wáp fa'
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Opinions of Thursday 16 September 2021;Nə́yɔ̂dzʉ̌ Shyə̂ŋku'ú 16 nə́ ŋkə̂mbiyɛ́ 2021 
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Auteur: Henry -paul Diabate Manden;Və:Henry -paul Diabate Manden
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Le ministre camerounais qui gifla l’ambassadeur de France;Ŋwâlǎ' Kaməlûm yə e  tâm fè ntə̂ŋ ntə̂m Flaŋsí.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Personne n'ose en parler ouvertement au Cameroun y compris dans les décors aseptisés des salons feutrés de la Yaoundé;sɔm mo tə̂ bó gə də́də́ŋ nə gɔm nwə  nə́ Kaməlûm pə̀ bə pɔ pyə wáp tə Yàwùdè lə.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Sûrement de peur d'être celui par qui le scandale est arrivé;Bə́ wə́ shwɔ́' nə́ pə̂ mo yə e də msya nwə ntə́m sim lə.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Réminiscence du glacis verbal de la période monolithique;Kámtə glasis ghɔm cwə monolitik.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Mais l'histoire a besoin d'être revisitée;Da'gaə́ pə́ wə́  shə́ŋ gaə pú píŋ diŋtə Tátə 
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Il opte pour Vincent de Paul Ahanda;Ě lə Vincent de Paul Ahanda
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Sa réputation de dur à cuire plaît à Ahidjo qui juge Charles Assalé de personnage falot et faible;Mtìŋ myə́ pá' mo bə ě ŋə́mtə́ á pûŋ Ahidjo e pə́ jɔ́ Charles Assalé pá' pwǎ mo lə
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Au fil du temps les esclandres se multiplient;Tâm cyə lə̂ shɛ yɔ́m
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Brusque dans ses manières et révulsant la courtoisie manifestement Vincent de Paul Ahanda n'est pas dans les petits papiers des Français.;Paul Ahanda lə pə́ mo pəpúŋ bí pə́ Flansí nə̂kə́lə́ e pə́ gə tsə́ pə̂ bâkbâk e lə nə́ŋ bə́ zhyə́ nə́ lə pɔ.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Désireux d'avoir le cœur net l'ambassadeur Jean Pierre Benard débarque sans prévenir à la Primature;Ambasadœr Jean Pierre Benard  yá' ŋkó dyə̂fa' kwîpû dôgùŋ tə phə̌ nə́ e á yɔ́ ywə́ yə ǎ bo shyə lə.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Généralement Ahidjo et Assalé se contentaient de baisser la tête et d'opiner du chef;Ahidjo pû Assalé lə̂ zhi bə́ zhyə́ pə́ da' pɔ̂ thə̂ yáp bíŋ ywə́ yə fǒ ghɔm lə.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Devant l'affront le sang ne fait qu'un tour dans la tête du fils de Ntouesson;Mû Ntouesson yɔ̂ ləŋtə ywə cwɔnyə nə́ é
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Il se rappelle de la fessée mémorable infligée à un prêtre qui du temps de ses études au grand séminaire de Mvolyé avait lorgné de trop près à son anatomie;E kámtə pá' pú lə pǔ'nyə́  Kâmsǐ yə e lə pə̌ zhí'tə́ Seminɛr gwyə́ Mvolye kíŋ ntʉ́m nə́ ě lə.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Se levant prestement il fonce vers l'ambassadeur;E lə̂gu'ú dúsí tú m mnə́ ambasadœr.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Flairant le danger le français veut prendre la poudre d'escampette;Yə fəlaŋsí fyə̂ nwə yə pá ghə̂ é á bə́ shə́ŋ nə́ khʉ̀.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;L'on chuchote qu'avant l'arrivée de l'huissier de service l'ambassadeur avait reçu quelques soufflets;Pû camtə gə́ ʉsye  yə ê fa' bî ambasadɛr á nə̂ ŋwak bə pú ntám mfe tə́ŋ é.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Humilié et tout honteux celui -ci jure qu'il aura la tête du PM Vincent de Paul Ahanda;Pú lə̂ sǒ ŋkú é e ghə́ pû dəŋdzə ŋwâlǎ'  Vincent de Paul Ahanda gɔ yɔ́.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Effectivement après seulement 5 mois d'exercice le 20 novembre 1965 un communiqué laconique nous apprend que le PM Vincent de Paul Ahanda a démissionné de ses fonctions pour cause de maladie;A nə́ŋ nə̂ ghə da' mŋə́ tɔ̂ fa'  kam ŋkʉɔbvəvə tyə̂' 20 Fə̂nàm 1965 ghə́  dəŋdzə ŋwâlǎ'  Vincent de Paul Ahanda ták fa'tsyə́ nə́ŋ dú bî gho.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Il sera nommé PCA de la société camerounaise des argiles industrielles;Pú yáp é PCA tsʉ' fa' mbûm kaməlûm.
https://www.camerounweb.com/CameroonHomePage/features/Vincent-de-Paul-Ahanda-le-ministre-camerounais-qui-gifla-l-ambassadeur-de-France-618790.;Il va disparaitre de la vie publique jusqu'à sa mort intervenue en 1975;E lû  nə́ mnwə dəmsim tə́ cwə́ pfʉ́ nə́ 1975.
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Opinions of Friday 17 September 2021; Nə́yɔ̂dzʉ̌ Gɔ̂sʉɔ̌ 17 nə́ ŋkə̂mbiyɛ́ 2021 
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Pourquoi Samuel Eto’o fait -il si peur à ces gens ?;Kə̂ gə pɔ pɔ pə́ bwɔ́k Samuel Eto'o tə'ə́?
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;L'actuel président de la Confédérationafricaine de football (CAF) est actuellement en visite au Cameroun dans le cadre de l'organisation de la Coupe d'Afrique des Nations CAN 2021;Mə̂cwɔ́' Ntamtə mtǎmbalɔŋ afraka(CAF) wə́ :nkə́ká Kaməlûm cwəlɔ̌ á lê nwə nə Kup afrika nguŋguŋ2021
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Cette rencontre coïncide avec les l'organisation des élections à la FECAFOOT qui auront lieu en octobre prochain;yùtə̀ yə̌ŋ bə́ ǎ kwátə́ cwə sà'nyə FECAFOOT yə pû gɔ ghə nə́ Fə̂nàm yə ǎ wə sɔ́' lə. 
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Ces élections verront la participation de Samuel Eto'o au poste de président un fauteuil convoité par l'actuel président Seidou Mbombo Njoya qui se trouve être le soutien du duo Motsepe -Infantino;Samuel Eto'o gɔ sà'nyə tsʉ' mə̂cwɔ́' ba Seidou Mbombo Njoya  yə é  bə́ mə̂cwɔ́' cwəlɔ á pə́ wə́ ntʉ́ mnyə̂ myə́ nə tsʉ' mə̂cwɔ́' pə Motsepe -Infantino pə́ wə́ ntʉ́ pú nə́ e.  
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Dans une réflexion publié sur cette affaire Roland Ed expose les vraies qui poussent Patrice Motsepe à préférer Seidou Mbombo Njoya;Roland Ed cyanyə ywə́ yə â gə gaə̂ Patrice Motsepe lə́ Seidou Mbombo Njoya lə.
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Car pour lui Seidou Mbombo Njoya est un soutien assuré au duo Motsepe -Infantino (le patron de la FIFA);Nə̂kə́lə́ Seidou Mbombo Njoya cəŋtə ŋkwítə́  pə Motsepe -Infantino (Tâdyə̂ FIFA)
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Le patron de la CAF ne portait plus Samuel Eto’o dans son cœur après que celui -ci avait antérieurement soutenu le malgache Ahmad Ahmad;Tâdyə̂ CAF látə̂ bə́ kúŋ Samuel Eto'o pə̀ tə fə́ pá' e lə kwǐtə́ yə Malgashə Ahmad Ahmad lə
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Le Malgache avait un moment envisagé de présenter Eto’o comme son conseiller spécial à la présidence de la CAF.; Yə Malgashə lə̂ bə ě ghɔ nə̂ mú' tam sɛ́ nə́ yáp Eto'o pá' gɛ ntɔ̂k é  ntʉ́m  Nəmo CAF lə.
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Tout le contraire de Motsepe fidèle parmi les fidèles de Gianni Infantino;Kwa' bwɔnyə Motsepe só yə tʉɔdəŋ cəcə̌ msǒ Gianni Infantino
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Et le Sud -Africain sait qu’en cas de candidature de Samuel Eto’o à la présidence de la FECAFOOT il aura affaire à un opposant de taille respecté dans le milieu du football .;Yə Sîsǐ Afrika bó zhyə́ gə́ Samuel Eto'o kô nə sa'nyə Tâdyə FECAFOOT bə ě ghə dzə̌ é mo gʉə́ pú pə́ gámtə́  ntʉ́m futbal.
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;La rencontre avec Ibrahim Mbombo Njoya était donc loin d’être anodine;Yə Sîsǐ Afrika bó zhyə́ gə́ Samuel Eto'o kô nə sa'nyə Tâdyə FECAFOOT bə ě ghə dzə̌ é mo gʉə́ pú pə́ gámtə́  ntʉ́m futbal.
https://www.camerounweb.com/CameroonHomePage/features/FECAFOOT-le-pr-sident-de-la-CAF-veut-barrer-la-route-Samuel-Eto-o-618973.;Il s’agit désormais pour le fils du sultan et pour le président de la CAF de barrer la route par tous les moyens à Eto’o;Mû Sʉltaŋ gɔ cə́ŋ cwəlɔ nə́ tê guŋ gu'ú awɛ́ nə́ bɛ́tə̀ zhyə̀ bí Eto'o
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Opinions of Monday 20 September 2021;"
Nə́yɔ̂dzʉ̌ Tyə̌'pfô 20 nə́ ŋkə̂mbiyɛ́ 2021"
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;J’ai cru que je faisais un mauvais rêve je n’en croyais pas mes oreilles;Də kwɛ̌ gaə̂ də́ bə́ wə́ jɔ́jʉ̀m cwəpuŋ ywə yə də̂ bə́ wə́ jú' á pə́ wə́ cyə́ á.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;La rédaction de CamerounWeb vous propose ci -dessous l'intégralité de son témoignageBonjour la Green Team moi c’est Isa j’ai 32 ans et je suis mariée à Jérémie 36 ans;Cyə́ və camerounweb sîsǐ pə́ wə́ bhə́ ywə́ yə e lə yɔ̌ lə gaə̌ cà'tə GreenTeam gaə̌ bə́ Issa gaə̌ ghə gù' 32 bə gaə̌ nə́ŋ dɔ́m bî Jeremie gù' 36.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Depuis bientôt 1 mois je traverse une grosse crise dans mon foyer mais aujourd’hui plus que jamais j’ai besoin de conseils pour prendre une décision car ma situation actuelle me dépasse;Ǎ wə́ gɔ́ ghə ta' ŋwə́ pá' lɔ̌mdyə̂ ǎ bó báknyə́ lə da'gaə̂ gaə̌ tyə́' ɔ bó shə́ŋ mntɔk təcyə tə́ nə zhyə́ pá' gaə̌ gɔ ghə lə nwə yə ǎ wə́  cyə́ á cyə á.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Mon époux et moi sommes mariés depuis 6 ans sans enfants;Pyə dhə́ ǎ bə pyə é lɔ́mdyə́ tə fə́ gù' ntɔkɔ́ bə́ pyə é ka ghə́ pó.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Quand nous nous sommes mariés c’était le parfait amour entre nous;Pyə́ é lə  lɔ̌mdyə̂ bə́ kúŋnyə́ tə'
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Il travaille à Yaoundé et moi Douala bien que n’étant pas dans la même ville je n’avais jamais ressenti son absence vu qu’on passait tous les week -ends ensemble;Ê fa' Yawùdè myə pə́ fa' Dwálá də nə́ŋ dá' ják é ba mbə́yə pyə é tə̂ fa' nə̂ kwi tsʉ' á pə́ nə̂kə́lə́ pyə é lə̂ bə́ míŋ mgapdzʉ́ pə́ pə́pʉə́ə́. 
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;On alternait les semaines soit il venait à Douala soit j’allais à Yaoundé;Pyə lə̂ bə́ fɛ́nyə́ mgapdzʉ́ kə e sɔ̂' dwálá kə myə ghɔ̂ Yawùdè lə̂.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Mais depuis 6 mois je ne reconnais plus mon mari;Tə fə́ mŋwə̂ ntɔkɔ́ ntə̂ biŋ bə́ wə́ jyə́ dhə́ a pə.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Il décroche rarement mes appels il est toujours très occupé au point où on faisait des jours sans se parler;Gaə̂ ŋké é lə ló'nyə́ bé bə bǎ cwəḳə́lə̂ bě cə́nyə́ tə pyə é pə́ cwə́ mtyɛ̂' mtyɛ̌ tə mo gɔ́m nwə bí mò.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Quand c’est son tour de voyager pour Douala il trouve des excuses pour ne pas venir et quand je propose de venir il s’y oppose;Yə tâm nə́ sɔ' dwálá pə́ ku' e cə́ŋ mkwɔ̂p nə cyə́tə sɔ' áa nə́ŋ gaə́ gaə̂ gɔ ghɔ é kəŋnyə̀.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Je trouvais son attitude déconcertante mais je prenais mon mal en patience;Ma e pə́ wə́ cyə́ á da' gaə̂ bə́ sɔk sɔk.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Ça a été la douche froide je n’en revenais pas;A kə pə̌ kwa' cwə go'ó bə ǎ cyə á.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Sans tarder j’ai fait une capture d’écran des messages et je l’ai envoyé à mon mari;Myə lɔ́'nyə də́ mciŋnyə mkhʉɔ cyá bi dhə́ à
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Il n’a pas réagi mais à ma grande surprise je l’ai vu débarquer à la maison le week -end pourtant il m’avait dit avoir un empêchement et ne pouvait pas venir à Douala;E lə pâ' da' gaə̂ ywə́ nə̂ cyə á gadzʉ́ nə̂ mí é yá' kó bə e lə nə̌ŋ séŋ á gaə́ ě cə́nyə́ e lə pə́ gɔ sɔ' dwálá
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Il m’a avoué qu’effectivement il a une liaison avec une autre femme il a accusé la distance et m’a promis de mettre un terme à cette relation;E ghɔ̂m bə́ m gaə́ ǎ nyə́nyɔ́ bə́ ě ghə ghap púa mjwǐ dú nə̂ gʉɔ̀ da' gaə́ e᷇ gɔ ták nə́ŋ.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;J’ai pris sur moi de comprendre que c’est un homme et que c’était susceptible d’arriver un jour j’ai fermé les yeux sur cette infidélité;Myə sə́tə fɛ́ mnyə́ nə́ nə̂kə́lə́ ǎ bə́ mbɛ̂ bə tiŋ ywə̂ bɔ̂ fíŋ nə́ ghə é.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Après cet épisode notre mariage a repris de plus belle il me rendait vraiment heureuse;Yəŋ cyə̂ lɔ̌mdyə̌ yɔ́k pîŋ ntó' nə́ puŋ msə́ e pə́ gwim á pə́púŋ.
https://www.camerounweb.com/CameroonHomePage/features/Mon-mari-refuse-de-se-s-parer-de-sa-ma-tresse-619243.;Mais un mois plus tard mon mariage de rêve a pris une autre tournure;Da' gaə̂ ta' ŋwə́ nə̂ cyə lɔ̌mdyə̂ pəpúŋ ǎ bə́ pîŋ fɛ́ bɔ́.
